Multiplier,SSIM,Area,Power,Cost function
mul4344,0.9997466915649408,449.388,5.9880463000000015,2690.956150664401
mul3434,0.9989708241413824,450.756,5.996412600000001,2702.918957925601
mul3444,0.9988215238074832,449.388,5.9880463000000015,2690.956150664401
mul4444,0.9964594608104096,448.02,5.979680000000002,2679.016233600001
mul4344,0.9997319984606672,449.388,5.9880463000000015,2690.956150664401
mul3434,0.9990142464835908,450.756,5.996412600000001,2702.918957925601
mul3444,0.9988494481675484,449.388,5.9880463000000015,2690.956150664401
mul4444,0.9963799159260356,448.02,5.979680000000002,2679.016233600001
mul4334,0.999868238517596,450.756,5.996412600000001,2702.918957925601
mul4344,0.9997936463191796,449.388,5.9880463000000015,2690.956150664401
mul3444,0.9995446672196964,449.388,5.9880463000000015,2690.956150664401
mul4444,0.9988070276172448,448.02,5.979680000000002,2679.016233600001
mul4344,0.999617691432173,449.388,5.9880463000000015,2690.956150664401
mul3434,0.9989221304501592,450.756,5.996412600000001,2702.918957925601
mul3444,0.9987170645187108,449.388,5.9880463000000015,2690.956150664401
mul4444,0.9960336199770612,448.02,5.979680000000002,2679.016233600001
mul4344,0.9999323234911855,449.388,5.9880463000000015,2690.956150664401
mul3444,0.9998121449252106,449.388,5.9880463000000015,2690.956150664401
mul4444,0.9986079399547148,448.02,5.979680000000002,2679.016233600001
mul4441,0.9980998809396447,453.492,6.0575100000000015,2747.032324920001
mul4344,0.9998454288210342,449.388,5.9880463000000015,2690.956150664401
mul3444,0.9996443324063798,449.388,5.9880463000000015,2690.956150664401
mul3344,0.9993461683962894,450.756,5.996412600000001,2702.918957925601
mul4444,0.9977618688114964,448.02,5.979680000000002,2679.016233600001
mul4344,0.9997639039138714,449.388,5.9880463000000015,2690.956150664401
mul3434,0.9990058338211656,450.756,5.996412600000001,2702.918957925601
mul3444,0.9988640753574162,449.388,5.9880463000000015,2690.956150664401
mul4444,0.9963799279158486,448.02,5.979680000000002,2679.016233600001
mul3344,0.9996663879252792,450.756,5.996412600000001,2702.918957925601
mul4344,0.9993796510194288,449.388,5.9880463000000015,2690.956150664401
mul3444,0.9985365417448212,449.388,5.9880463000000015,2690.956150664401
mul4444,0.995718208644927,448.02,5.979680000000002,2679.016233600001
mul3344,0.9996509999501596,450.756,5.996412600000001,2702.918957925601
mul4344,0.9992572876742132,449.388,5.9880463000000015,2690.956150664401
mul3444,0.9983925514230706,449.388,5.9880463000000015,2690.956150664401
mul4444,0.9953781342929532,448.02,5.979680000000002,2679.016233600001
mul4344,0.9997743155727972,449.388,5.9880463000000015,2690.956150664401
mul3434,0.9990200705165164,450.756,5.996412600000001,2702.918957925601
mul3444,0.9989043127465036,449.388,5.9880463000000015,2690.956150664401
mul4444,0.9965590636964662,448.02,5.979680000000002,2679.016233600001
mul4344,0.9998339606196072,449.388,5.9880463000000015,2690.956150664401
mul3444,0.9995242431255914,449.388,5.9880463000000015,2690.956150664401
mul4444,0.99872270776797,448.02,5.979680000000002,2679.016233600001
mul3334,0.9984425284590898,452.124,6.004778900000001,2714.9046553836006
mul4333,0.9998365888114644,452.124,6.004778900000001,2714.9046553836006
mul4344,0.9995847201274172,449.388,5.9880463000000015,2690.956150664401
mul3444,0.9993571768236782,449.388,5.9880463000000015,2690.956150664401
mul4444,0.9984125121859896,448.02,5.979680000000002,2679.016233600001
mul4344,0.9996566314394092,449.388,5.9880463000000015,2690.956150664401
mul3434,0.9989952611812456,450.756,5.996412600000001,2702.918957925601
mul3444,0.998809222886344,449.388,5.9880463000000015,2690.956150664401
mul4444,0.9963453737267468,448.02,5.979680000000002,2679.016233600001
mul4344,0.9999092561413656,449.388,5.9880463000000015,2690.956150664401
mul3344,0.999835231940252,450.756,5.996412600000001,2702.918957925601
mul4444,0.9991329118604856,448.02,5.979680000000002,2679.016233600001
mul4441,0.9988964451867224,453.492,6.0575100000000015,2747.032324920001
mul4333,0.999721569760048,452.124,6.004778900000001,2714.9046553836006
mul4344,0.99918565127563,449.388,5.9880463000000015,2690.956150664401
mul4433,0.99770129798744,450.756,5.996412600000001,2702.918957925601
mul4444,0.9959643438369497,448.02,5.979680000000002,2679.016233600001
mul3344,0.9996695856472764,450.756,5.996412600000001,2702.918957925601
mul4344,0.9992504080537388,449.388,5.9880463000000015,2690.956150664401
mul3444,0.9980978314310957,449.388,5.9880463000000015,2690.956150664401
mul4444,0.9955417657509564,448.02,5.979680000000002,2679.016233600001
mul4344,0.9998988417032024,449.388,5.9880463000000015,2690.956150664401
mul3344,0.999839113982496,450.756,5.996412600000001,2702.918957925601
mul4444,0.9990933163155078,448.02,5.979680000000002,2679.016233600001
mul4441,0.998849913898897,453.492,6.0575100000000015,2747.032324920001
mul4344,0.9995977683505974,449.388,5.9880463000000015,2690.956150664401
mul3433,0.998501367014942,452.124,6.004778900000001,2714.9046553836006
mul3444,0.998233173668602,449.388,5.9880463000000015,2690.956150664401
mul4444,0.9955289953953798,448.02,5.979680000000002,2679.016233600001
mul3344,0.999689575244401,450.756,5.996412600000001,2702.918957925601
mul4344,0.999320995297392,449.388,5.9880463000000015,2690.956150664401
mul3444,0.9986210569031232,449.388,5.9880463000000015,2690.956150664401
mul4444,0.996059481545688,448.02,5.979680000000002,2679.016233600001
mul4344,0.9997806734664229,449.388,5.9880463000000015,2690.956150664401
mul3434,0.999044287671662,450.756,5.996412600000001,2702.918957925601
mul3444,0.998915287699518,449.388,5.9880463000000015,2690.956150664401
mul4444,0.996595316486787,448.02,5.979680000000002,2679.016233600001
mul4344,0.999900249411016,449.388,5.9880463000000015,2690.956150664401
mul3444,0.9997842703333693,449.388,5.9880463000000015,2690.956150664401
mul4434,0.9988442651989188,449.388,5.9880463000000015,2690.956150664401
mul4444,0.9986571462037186,448.02,5.979680000000002,2679.016233600001
mul4334,0.999821888313246,450.756,5.996412600000001,2702.918957925601
mul4344,0.9996900137521694,449.388,5.9880463000000015,2690.956150664401
mul3444,0.9994670936352626,449.388,5.9880463000000015,2690.956150664401
mul4444,0.9985949888072128,448.02,5.979680000000002,2679.016233600001
mul4344,0.9998350889386532,449.388,5.9880463000000015,2690.956150664401
mul3444,0.9995965183324692,449.388,5.9880463000000015,2690.956150664401
mul3344,0.9992721629271132,450.756,5.996412600000001,2702.918957925601
mul4444,0.9976683560744836,448.02,5.979680000000002,2679.016233600001
mul4344,0.9998426100384458,449.388,5.9880463000000015,2690.956150664401
mul3444,0.9996242620267146,449.388,5.9880463000000015,2690.956150664401
mul3344,0.9992730450393454,450.756,5.996412600000001,2702.918957925601
mul4444,0.9975925045688132,448.02,5.979680000000002,2679.016233600001
mul4344,0.9997867771283432,449.388,5.9880463000000015,2690.956150664401
